State,median_household_income_2019,median_family_income_2019,population_2020,number_of_households_2019,number_of_families_2019,growth_in_income_over_10_years,inequality_coefficient_2019,inequality_coefficient_2015to2019,unemployment_rate,poverty_rate,federal_funding,state_funding,social_funding,white,black,hispanic,asian,american_indian,other_pacific_islander,multiple_races,density,growthsince2010,lawsrank,grade2019,gundeathrate,PCA1,PCA2,PCA3,Class
Oregon,67058,82540,4237256.0,1649352.0,1021588.0,4.14,0.45,0.4586,4.7,12.36,4260,8515,3033,0.721,0.018,0.14,0.045,0.007,0.004,0.065,44.00522,0.10256,15,60,11.68,0.3688123279080333,1.6224314647100513,-0.585560534931953,High
Pennsylvania,63463,81075,13002700.0,5119249.0,3228224.0,2.85,0.4745,0.472,6.2,11.95,4073,5491,2904,0.739,0.097,0.084,0.037,0.001,0.0,0.043,289.0275,0.01807,12,60,12.47,1.3999077910220417,-0.9487581734298227,-0.24989990005628177,Low
Rhode Island,71169,89373,1097379.0,407174.0,249987.0,3.49,0.4628,0.4702,5.2,11.58,2155,5340,2915,0.689,0.043,0.174,0.03,0.002,0.0,0.06,1054.6257,0.03602,9,90,3.28,2.218422478780533,1.1150792561354983,-1.6381061839771007,Low
South Carolina,56227,70537,5118425.0,1975915.0,1286326.0,3.29,0.4747,0.474,4.1,14.68,2520,7157,1686,0.628,0.247,0.063,0.016,0.002,0.0,0.043,178.70337,0.16142,31,10,17.51,-1.5572541934862143,-1.7378787411391843,-0.09511803561750054,High
South Dakota,59533,76826,886667.0,353799.0,223964.0,2.93,0.436,0.444,2.9,12.81,2442,6363,1373,0.802,0.02,0.04,0.015,0.076,0.0,0.045,12.1814,0.13425,44,10,13.5,-3.4327683290442734,1.4310657460667748,-0.6726907535524982,High
Tennessee,56071,69993,6910840.0,2654737.0,1727895.0,3.41,0.4749,0.4788,4.4,14.62,1338,8260,1883,0.723,0.151,0.06,0.017,0.001,0.0,0.048,173.0163,0.12421,29,20,17.82,-1.213913776534148,-1.888160848132627,-0.3006364766580514,High
Texas,64034,76727,29145504.0,9985126.0,6857641.0,3.11,0.4753,0.4791,5.6,14.22,1912,8160,1483,0.393,0.114,0.404,0.052,0.002,0.001,0.035,116.75553,0.21295,34,10,12.22,2.645167121046612,-4.0713023332377105,-0.4259970330571947,Low
Utah,75780,86152,3271616.0,1023855.0,760968.0,3.68,0.4268,0.4265,2.4,9.13,3285,6632,1413,0.76,0.01,0.147,0.025,0.006,0.008,0.044,41.6513,0.23829,27,30,13.14,-1.3386775334393086,2.9162189381355104,-2.775932810263174,High
Vermont,63001,83458,643077.0,262767.0,156153.0,2.74,0.4471,0.4484,2.9,10.78,5728,6331,3040,0.906,0.011,0.02,0.018,0.0,0.0,0.044,70.2133,0.03422,23,40,12.63,-1.9052469289711929,2.357582801212578,-0.7928174175147558,High
Virginia,76456,93497,8631393.0,3191847.0,2094763.0,2.6,0.469,0.4689,3.8,10.01,2690,6120,1754,0.595,0.177,0.102,0.068,0.002,0.001,0.056,220.55894,0.08859,26,30,11.76,0.8069348398396273,0.1535317905584072,-0.7181024907722665,High
Washington,78687,94709,7705281.0,2932477.0,1882896.0,3.93,0.4577,0.4573,4.9,10.19,4309,8954,1793,0.646,0.037,0.136,0.094,0.007,0.006,0.073,117.83476,0.16451,10,90,10.32,2.23700921803417,2.2301988358819984,-1.0631737946596427,Low
West Virginia,48850,60920,1793716.0,728175.0,470472.0,2.76,0.4644,0.4667,4.0,17.1,1795,7883,2777,0.906,0.025,0.017,0.008,0.0,0.0,0.043,73.41651,-0.0476,34,10,18.11,-3.234253201084635,-1.2001090891339028,0.7077103635447798,High
Wisconsin,64168,81829,5893718.0,2386623.0,1470116.0,3.04,0.4391,0.4448,3.9,10.97,2671,8638,2077,0.793,0.058,0.075,0.03,0.005,0.0,0.039,109.03241,0.03833,21,40,10.13,-0.6902182676622206,1.1353618202429643,-1.226025152372765,High
Wyoming,65003,79946,576851.0,233128.0,152859.0,2.18,0.4345,0.4361,4.0,10.76,3049,13423,1499,0.813,0.009,0.106,0.007,0.017,0.0,0.048,6.00743,0.03487,48,10,21.09,-3.059288507963554,1.871263404895574,0.7534985112360194,High
